image_path,true_label,pred_label,confidence,error_type
/home/22010759/Minhk16/como/content/dataset/image/ISIC_0014724_downsampled.jpg,0,1,1.0,FP
/home/22010759/Minhk16/como/content/dataset/image/ISIC_0000353.jpg,0,1,1.0,FP
/home/22010759/Minhk16/como/content/dataset/image/ISIC_0027354.jpg,0,1,1.0,FP
/home/22010759/Minhk16/como/content/dataset/image/ISIC_0028147.jpg,0,1,1.0,FP
/home/22010759/Minhk16/como/content/dataset/image/ISIC_0028981.jpg,0,1,1.0,FP
/home/22010759/Minhk16/como/content/dataset/image/ISIC_0014868_downsampled.jpg,0,1,1.0,FP
/home/22010759/Minhk16/como/content/dataset/image/ISIC_0072105.jpg,0,1,1.0,FP
/home/22010759/Minhk16/como/content/dataset/image/ISIC_0015641_downsampled.jpg,0,1,1.0,FP
/home/22010759/Minhk16/como/content/dataset/image/ISIC_0015149_downsampled.jpg,0,1,1.0,FP
/home/22010759/Minhk16/como/content/dataset/image/ISIC_0061149.jpg,0,1,1.0,FP
/home/22010759/Minhk16/como/content/dataset/image/ISIC_0014915_downsampled.jpg,0,1,1.0,FP
/home/22010759/Minhk16/como/content/dataset/image/ISIC_0015368_downsampled.jpg,0,1,1.0,FP
/home/22010759/Minhk16/como/content/dataset/image/ISIC_0027949.jpg,0,1,1.0,FP
/home/22010759/Minhk16/como/content/dataset/image/ISIC_0015245_downsampled.jpg,0,1,1.0,FP
/home/22010759/Minhk16/como/content/dataset/image/ISIC_0024538.jpg,0,1,1.0,FP
/home/22010759/Minhk16/como/content/dataset/image/ISIC_0014755_downsampled.jpg,0,1,1.0,FP
/home/22010759/Minhk16/como/content/dataset/image/ISIC_0015312_downsampled.jpg,0,1,1.0,FP
/home/22010759/Minhk16/como/content/dataset/image/ISIC_0025982.jpg,0,1,1.0,FP
/home/22010759/Minhk16/como/content/dataset/image/ISIC_0014714_downsampled.jpg,0,1,1.0,FP
/home/22010759/Minhk16/como/content/dataset/image/ISIC_0028945.jpg,0,1,1.0,FP
